Action-new April15
 1 0
 0.9608 0.005503511791246105
 0.9234 0.010791199590678636
 0.8876 0.015863063398297593
 0.8535 0.020827015210009767
 0.8209 0.025575143029908362
 0.7898 0.03010744685799339
 0.7601 0.03453183869017163
 0.7317 0.03884831852644309
 0.7046 0.04294897437090097
 0.6787 0.04694171821945206
 0.6539 0.05071863807618958
 0.6302 0.05449555793292711
 0.6075 0.05805665379785106
 0.5857 0.06161774966277501
 0.5648 0.06496302153588537
 0.5446 0.06830829340899576
 0.5252 0.07143774129029257
 0.5064 0.07456718917158937
 0.4882 0.07769663705288618
 0.4706 0.0807181729382762
 0.4534 0.08363179682775944
 0.4366 0.08643750872133588
 0.4203 0.08924322061491231
 0.4044 0.09194102051258198
 0.389 0.09442299641843806
 0.3739 0.09690497232429415
 0.3592 0.09927903623424345
 0.3449 0.10143727615237916
 0.331 0.1035955160705149
 0.3174 0.10543002000093027
 0.3041 0.10726452393134565
 0.2911 0.10888320386994743
 0.2785 0.11028605981673564
 0.2661 0.1114730917717103
 0.254 0.11255221173077816
 0.2421 0.11341550769803245
 0.2305 0.11406297967347319
 0.2191 0.11449462765710033
 0.2079 0.11460253965300711
 0.1969 0.11460253965300711
 0.1861 0.11427880366528675
 0.1755 0.11373924368575282
 0.1652 0.11298385971440532
 0.1551 0.11201265175124425
 0.1452 0.11082561979626959
 0.1356 0.10931485185357456
 0.1263 0.10769617191497279
 0.1173 0.10586166798455743
 0.1085 0.10370342806642172
 0.1001 0.10143727615237916
 0.092 0.0988473882506163
 0.0842 0.09614958835294665
 0.0767 0.09323596446346341
 0.0696 0.0901065165821666
 0.0628 0.08676124470905623
 0.0564 0.08330806084003907
 0.0504 0.07953114098330154
 0.0448 0.07564630913065723
 0.0396 0.07154565328619934
 0.0347 0.0672291734499279
 0.0303 0.06280478161774966
 0.0262 0.05838038978557142
 0.0225 0.05374017396157961
 0.0192 0.04909995813758779
 0.0161 0.04456765430950277
 0.0134 0.039927438485510953
 0.011 0.03539513465742593
 0.0088 0.03097074282524768
 0.007 0.026762174984883015
 0.0053 0.022661519140425135
 0.004 0.018776687287780824
 0.0028 0.015107679426950092
 0.0019 0.011654495557932926
 0.0012 0.008632959672542908
 0.0006 0.005827247778966463
 0.0003 0.0034531838690171636
 0.0001 0.0015107679426950092
 0 0
 0.0001 -0.0014028559467882226
 0.0002 -0.0031294478812968042
 0.0006 -0.005071863807618958
 0.0011 -0.007338015721661472
 0.0019 -0.009712079631610773
 0.0028 -0.012301967533373646
 0.0041 -0.015107679426950092
 0.0056 -0.018021303316433323
 0.0074 -0.02104283920182334
 0.0096 -0.024172287083120147
 0.0122 -0.027301734964416947
 0.0152 -0.030647006837527326
 0.0186 -0.0339922787106377
 0.0224 -0.0372296385878413
 0.0267 -0.040574910460951664
 0.0316 -0.04392018233406205
 0.0369 -0.04715754221126564
 0.0428 -0.05028699009256244
 0.0494 -0.05341643797385924
 0.0565 -0.05633006186334249
 0.0642 -0.05913577375691892
 0.0725 -0.06183357365458858
 0.0813 -0.06442346155635147
 0.0907 -0.06690543746220755
 0.1005 -0.06917158937625006
 0.1107 -0.07143774129029257
 0.1213 -0.0734880692125215
 0.1323 -0.07532257314293687
 0.1436 -0.07715707707335225
 0.1552 -0.07877575701195404
 0.1671 -0.08028652495464904
 0.1791 -0.08168938090143726
 0.1914 -0.08298432485231871
 0.2038 -0.08406344481138657
 0.2163 -0.08503465277454765
 0.2288 -0.08579003674589515
 0.2414 -0.08654542071724265
 0.254 -0.08708498069677659
 0.2666 -0.08740871668449694
 0.2791 -0.08762454067631051
 0.2915 -0.0877324526722173
 0.3039 -0.0877324526722173
 0.3163 -0.08762454067631051
 0.3287 -0.08730080468859017
 0.3412 -0.08686915670496301
 0.3537 -0.08632959672542909
 0.3663 -0.08557421275408159
 0.379 -0.08481882878273408
 0.3918 -0.0839555328154798
 0.4047 -0.08287641285641191
 0.4178 -0.08168938090143726
 0.4311 -0.08050234894646263
 0.4446 -0.0790994929996744
 0.4583 -0.07769663705288618
 0.4723 -0.07607795711428438
 0.4866 -0.0744592771756826
 0.5011 -0.072732685241174
 0.5159 -0.07089818131075863
 0.5311 -0.06895576538443648
 0.5467 -0.06690543746220755
 0.5627 -0.0648551095399786
 0.5794 -0.0625889576259361
 0.5967 -0.06021489371598678
 0.6147 -0.0577329178101307
 0.6337 -0.05503511791246104
 0.6535 -0.05212149402297781
 0.6744 -0.04909995813758779
 0.6965 -0.0458625982603842
 0.7198 -0.042517326387273825
 0.7444 -0.03884831852644309
 0.7704 -0.034963486673798776
 0.7979 -0.030754918833434113
 0.8271 -0.026438438997162656
 0.8579 -0.021690311177264058
 0.8905 -0.016726359365551887
 0.925 -0.011438671566119354
 0.9615 -0.005935159774873249
 1 0
