R1 V2x 
 1 0
 0.96069 0.0059322704690698636
 0.92312 0.011605145081127168
 0.88719 0.017029901916911585
 0.85283 0.0222178190571628
 0.81996 0.027168896501880806
 0.7885 0.031916968493284625
 0.75838 0.036462035031374275
 0.72951 0.040815374196889423
 0.70181 0.04499954215130942
 0.67521 0.049014538894634266
 0.64962 0.052894198669083008
 0.62497 0.056627243393915942
 0.60117 0.060236229230612441
 0.57815 0.063732434259912166
 0.55583 0.067127136562554812
 0.53413 0.07044289230001971
 0.51297 0.073679701472306874
 0.49227 0.076848842160156
 0.47195 0.079984148605786065
 0.45194 0.083074342728457456
 0.4322 0.086130702608909787
 0.41275 0.08911939400492408
 0.39361 0.0920404169165003
 0.37479 0.094859937101419448
 0.35633 0.097566676478941808
 0.33823 0.10013807888758805
 0.32051 0.10256286624661851
 0.3032 0.10480720431381414
 0.2863 0.10687109308917496
 0.26985 0.10872069833048191
 0.25386 0.11034474195699533
 0.23834 0.11172066780723587
 0.22332 0.11283719780046385
 0.20881 0.11366049769446023
 0.19484 0.11419056748922504
 0.18142 0.11439357294253923
 0.16857 0.11424695789292344
 0.15631 0.11375072234037767
 0.14465 0.11287103204268288
 0.13362 0.11160788699983913
 0.1232 0.10996128721184632
 0.11336 0.10797634500166327
 0.10409 0.10568689461150893
 0.09538 0.10309293604138332
 0.0872 0.10023958161424515
 0.07953 0.097149387491573758
 0.07236 0.093856187915588238
 0.06566 0.090371260967028175
 0.05942 0.086739718968852325
 0.05362 0.082972840001800358
 0.04824 0.079115736388830987
 0.04326 0.075168408129944186
 0.03866 0.071187245628838366
 0.03443 0.067183526966253182
 0.03054 0.063179808303668011
 0.02697 0.059209923883301874
 0.02372 0.055307707947373788
 0.02075 0.051484438576623437
 0.01805 0.047785228094009521
 0.0156 0.044210076499532062
 0.01339 0.040758983793191039
 0.01142 0.037420671894246783
 0.00965 0.034217696964178639
 0.00809 0.031138780922246943
 0.00671 0.028172645687712012
 0.00551 0.025330569341313527
 0.00447 0.0226012738023118
 0.00359 0.019996037151446516
 0.00283 0.017503581307978
 0.0022 0.015123906271906249
 0.00168 0.012857012043231265
 0.00125 0.010691620541213366
 0.00091 0.00865028792733191
 0.00064 0.0067104580401075465
 0.00043 0.0048721308795402684
 0.00026 0.0031465845263697564
 0.00012 0.0015225408998563339
 0 0
 0.00018 -0.0030789160419316969
 0.00067 -0.0061239978416443653
 0.00147 -0.00914652347987768
 0.00258 -0.01214649295663164
 0.004 -0.015123906271906249
 0.00575 -0.018067485344961828
 0.00781 -0.020988508256538054
 0.0102 -0.023875696925895255
 0.01291 -0.026740329433773091
 0.01596 -0.029582405780171586
 0.01934 -0.032390647884351045
 0.02306 -0.035176333827051147
 0.02712 -0.037928185527532229
 0.03153 -0.040657481066533947
 0.03628 -0.043364220444056321
 0.04138 -0.04603712557935967
 0.04684 -0.048687474553183653
 0.05265 -0.051303989284788618
 0.05883 -0.053897947854914217
 0.06537 -0.0564580721828208
 0.07228 -0.058995640349248028
 0.07955 -0.061488096192716536
 0.0872 -0.063924161632486667
 0.09522 -0.066303836668558422
 0.10362 -0.06861584322019211
 0.11239 -0.070848903206648078
 0.12155 -0.073003016627926284
 0.13108 -0.075055627322547419
 0.141 -0.077006735290511455
 0.15131 -0.07885634053181842
 0.16201 -0.080570608804249252
 0.1731 -0.082160818188543636
 0.18458 -0.0836156906039619
 0.19646 -0.084912669889024725
 0.20873 -0.086063034124471721
 0.22141 -0.0870442271488236
 0.23449 -0.087856248962080288
 0.24797 -0.088476543402762522
 0.26186 -0.088905110470870227
 0.27615 -0.089141950166403416
 0.29081 -0.089187062489362146
 0.30581 -0.089051725520486014
 0.3211 -0.088735939259775062
 0.33665 -0.088262259868708656
 0.35243 -0.087630687347286768
 0.36838 -0.086863777856988775
 0.38448 -0.085950253317074968
 0.40069 -0.084912669889024725
 0.41697 -0.083762305653577729
 0.43328 -0.082499160610733938
 0.44958 -0.081134512841233089
 0.46584 -0.079679640425814824
 0.48202 -0.07814582144521881
 0.49809 -0.076544333980184731
 0.51399 -0.074886456111452268
 0.52971 -0.073160909758281753
 0.54519 -0.071401529162892219
 0.5604 -0.069608314325283652
 0.57531 -0.06779254332619572
 0.58998 -0.065931660004149087
 0.60458 -0.064025664359143752
 0.61926 -0.062029444068221008
 0.63419 -0.059942999131380847
 0.64953 -0.057721217225664569
 0.66545 -0.05535282027033249
 0.68212 -0.0528039740231656
 0.69969 -0.050063400403424191
 0.71834 -0.047097265168889263
 0.73823 -0.043883012158081443
 0.75951 -0.040398085209521394
 0.78237 -0.036631206242469426
 0.80695 -0.032537262933966839
 0.83343 -0.028104977203273956
 0.86196 -0.023311792888911421
 0.89273 -0.018123875748660211
 0.92588 -0.012529947701780644
 0.96158 -0.0064961745060536915
 1 0
